net,radius,data_number,tool,defense success of apgd & apgdt
vgg19,4,50,PatchRepair,0.2174
vgg19,4,50,original,0.0
vgg19,4,50,adv_training,0.0361
vgg19,4,50,label,0.2206
vgg19,4,50,care,0
vgg19,4,50,prdnn,0
vgg19,4,50,aprnn,0
vgg19,4,100,PatchRepair,0.2265
vgg19,4,100,original,0.0
vgg19,4,100,adv_training,0.0367
vgg19,4,100,label,0.2284
vgg19,4,100,care,0
vgg19,4,100,prdnn,0
vgg19,4,100,aprnn,0
vgg19,4,200,PatchRepair,0.2261
vgg19,4,200,original,0.0
vgg19,4,200,adv_training,0.0292
vgg19,4,200,label,0.2271
vgg19,4,200,care,0
vgg19,4,200,prdnn,0
vgg19,4,200,aprnn,0
vgg19,4,500,PatchRepair,0.2263
vgg19,4,500,original,0.0
vgg19,4,500,adv_training,0.0341
vgg19,4,500,label,0.2279
vgg19,4,500,care,0
vgg19,4,500,prdnn,None
vgg19,4,500,aprnn,0
vgg19,4,1000,PatchRepair,0.2261
vgg19,4,1000,original,0.0
vgg19,4,1000,adv_training,0.0335
vgg19,4,1000,label,0.2278
vgg19,4,1000,care,0
vgg19,4,1000,prdnn,None
vgg19,4,1000,aprnn,0
vgg19,8,50,PatchRepair,0.2306
vgg19,8,50,original,0.0
vgg19,8,50,adv_training,0.0414
vgg19,8,50,label,0.2339
vgg19,8,50,care,0
vgg19,8,50,prdnn,0
vgg19,8,50,aprnn,0
vgg19,8,100,PatchRepair,0.23
vgg19,8,100,original,0.0
vgg19,8,100,adv_training,0.0366
vgg19,8,100,label,0.2328
vgg19,8,100,care,0
vgg19,8,100,prdnn,0
vgg19,8,100,aprnn,0
vgg19,8,200,PatchRepair,0.2311
vgg19,8,200,original,0.0
vgg19,8,200,adv_training,0.0321
vgg19,8,200,label,0.2344
vgg19,8,200,care,0
vgg19,8,200,prdnn,0
vgg19,8,200,aprnn,0
vgg19,8,500,PatchRepair,0.2301
vgg19,8,500,original,0.0
vgg19,8,500,adv_training,0.0229
vgg19,8,500,label,0.2334
vgg19,8,500,care,0
vgg19,8,500,prdnn,None
vgg19,8,500,aprnn,0
vgg19,8,1000,PatchRepair,0.2308
vgg19,8,1000,original,0.0
vgg19,8,1000,adv_training,0.0257
vgg19,8,1000,label,0.2343
vgg19,8,1000,care,0
vgg19,8,1000,prdnn,None
vgg19,8,1000,aprnn,0
resnet18,4,50,PatchRepair,0.2419
resnet18,4,50,original,0.0
resnet18,4,50,adv_training,0.0567
resnet18,4,50,label,0.2528
resnet18,4,50,care,0
resnet18,4,50,prdnn,0
resnet18,4,50,aprnn,0
resnet18,4,100,PatchRepair,0.2427
resnet18,4,100,original,0.0
resnet18,4,100,adv_training,0.0666
resnet18,4,100,label,0.2524
resnet18,4,100,care,0
resnet18,4,100,prdnn,0
resnet18,4,100,aprnn,0
resnet18,4,200,PatchRepair,0.2417
resnet18,4,200,original,0.0
resnet18,4,200,adv_training,0.0599
resnet18,4,200,label,0.254
resnet18,4,200,care,0
resnet18,4,200,prdnn,0
resnet18,4,200,aprnn,0
resnet18,4,500,PatchRepair,0.2427
resnet18,4,500,original,0.0
resnet18,4,500,adv_training,0.0541
resnet18,4,500,label,0.2549
resnet18,4,500,care,0
resnet18,4,500,prdnn,None
resnet18,4,500,aprnn,0
resnet18,4,1000,PatchRepair,0.2419
resnet18,4,1000,original,0.0
resnet18,4,1000,adv_training,0.0516
resnet18,4,1000,label,0.2547
resnet18,4,1000,care,0
resnet18,4,1000,prdnn,None
resnet18,4,1000,aprnn,0
resnet18,8,50,PatchRepair,0.2456
resnet18,8,50,original,0.0
resnet18,8,50,adv_training,0.0559
resnet18,8,50,label,0.2599
resnet18,8,50,care,0
resnet18,8,50,prdnn,0
resnet18,8,50,aprnn,0
resnet18,8,100,PatchRepair,0.2457
resnet18,8,100,original,0.0
resnet18,8,100,adv_training,0.0501
resnet18,8,100,label,0.2632
resnet18,8,100,care,0
resnet18,8,100,prdnn,0
resnet18,8,100,aprnn,0
resnet18,8,200,PatchRepair,0.2456
resnet18,8,200,original,0.0
resnet18,8,200,adv_training,0.0542
resnet18,8,200,label,0.2587
resnet18,8,200,care,0
resnet18,8,200,prdnn,0
resnet18,8,200,aprnn,0
resnet18,8,500,PatchRepair,0.2454
resnet18,8,500,original,0.0
resnet18,8,500,adv_training,0.0583
resnet18,8,500,label,0.2609
resnet18,8,500,care,0
resnet18,8,500,prdnn,None
resnet18,8,500,aprnn,0
resnet18,8,1000,PatchRepair,0.2461
resnet18,8,1000,original,0.0
resnet18,8,1000,adv_training,0.0524
resnet18,8,1000,label,0.2618
resnet18,8,1000,care,0
resnet18,8,1000,prdnn,None
resnet18,8,1000,aprnn,0
