net,radius,data_number,tool,drawdown,rs,gene,time
vgg19,4,50,PatchRepair,0.0,1.0,1.0,238.68508406355977
vgg19,4,100,PatchRepair,0.0,1.0,1.0,471.649889241904
vgg19,4,200,PatchRepair,0.0,1.0,1.0,962.9562075920403
vgg19,4,500,PatchRepair,0.0,1.0,1.0,2516.8687383830547
vgg19,4,1000,PatchRepair,0.0,1.0,1.0,5441.5541446097195
vgg19,8,50,PatchRepair,0.0,1.0,1.0,229.856750164181
vgg19,8,100,PatchRepair,0.0,1.0,1.0,470.70522954687476
vgg19,8,200,PatchRepair,0.0,1.0,1.0,950.0959422364831
vgg19,8,500,PatchRepair,0.0,1.0,1.0,2484.958519808948
vgg19,8,1000,PatchRepair,0.0,1.0,1.0,5436.008996535093
resnet18,4,50,PatchRepair,0.0,1.0,1.0,265.7943159863353
resnet18,4,100,PatchRepair,0.0,1.0,1.0,525.1050062403083
resnet18,4,200,PatchRepair,0.0,1.0,1.0,1050.3336299210787
resnet18,4,500,PatchRepair,0.0,1.0,1.0,2586.3723554499447
resnet18,4,1000,PatchRepair,0.0,1.0,1.0,5262.296839583665
resnet18,8,50,PatchRepair,0.0,1.0,1.0,264.7061668410897
resnet18,8,100,PatchRepair,0.0,1.0,1.0,523.1203827448189
resnet18,8,200,PatchRepair,0.0,1.0,1.0,1042.7821969501674
resnet18,8,500,PatchRepair,0.0,1.0,1.0,2627.809850040823
resnet18,8,1000,PatchRepair,0.0,1.0,1.0,5325.09354943037
vgg19,4,50,care,0.0011999999999999789,0.07999999999999996,0.06600000000000006,47.77057766914368
vgg19,4,100,care,0.0017000000000000348,0.050000000000000044,0.04200000000000004,64.3739697933197
vgg19,4,200,care,0.0015000000000000568,0.040000000000000036,0.03600000000000003,106.46448826789856
vgg19,4,500,care,0.0021999999999999797,0.10999999999999999,0.11660000000000004,380.412171125412
vgg19,4,1000,care,0.0031999999999999806,0.10899999999999999,0.11819999999999997,928.2411732673645
vgg19,8,50,care,0.0011999999999999789,0.020000000000000018,0.020000000000000018,36.90422534942627
vgg19,8,100,care,0.0019000000000000128,0.040000000000000036,0.03600000000000003,48.22736883163452
vgg19,8,200,care,0.0016000000000000458,0.020000000000000018,0.027000000000000024,96.0102481842041
vgg19,8,500,care,0.0009000000000000119,0.02200000000000002,0.023800000000000043,234.1460723876953
vgg19,8,1000,care,0.0028000000000000247,0.02400000000000002,0.02859999999999996,442.97317361831665
resnet18,4,50,care,0.0008000000000000229,0.0,0.026000000000000023,45.48418045043945
resnet18,4,100,care,0.0006999999999999229,0.0,0.027000000000000024,58.85730504989624
resnet18,4,200,care,0.0018000000000000238,0.0,0.09050000000000002,105.52231454849243
resnet18,4,500,care,0.0029000000000000137,0.0,0.12239999999999995,243.54964184761047
resnet18,4,1000,care,0.0020999999999999908,0.0,0.0665,384.92178773880005
resnet18,8,50,care,0.0005999999999999339,0.0,0.038000000000000034,37.14103102684021
resnet18,8,100,care,0.00019999999999997797,0.0,0.026000000000000023,75.3798999786377
resnet18,8,200,care,0.0004999999999999449,0.0,0.02300000000000002,101.60452151298523
resnet18,8,500,care,0.0008000000000000229,0.0,0.027200000000000002,180.66805624961853
resnet18,8,1000,care,0.0009000000000000119,0.0,0.0232,285.73680210113525
vgg19,4,50,prdnn,0.1362,1.0,0.698,1731.7964077251963
vgg19,4,100,prdnn,0.24750000000000005,1.0,0.682,2640.61558918003
vgg19,4,200,prdnn,0.3034,1.0,0.6855,6307.41489495663
vgg19,4,500,prdnn,None,None,None,TIMEOUT
vgg19,4,1000,prdnn,None,None,None,TIMEOUT
vgg19,8,50,prdnn,0.19830000000000003,1.0,0.58,1160.4196723401546
vgg19,8,100,prdnn,0.40460000000000007,1.0,0.666,2210.157909342088
vgg19,8,200,prdnn,0.502,1.0,0.6135,5126.9015021878295
vgg19,8,500,prdnn,None,None,None,TIMEOUT
vgg19,8,1000,prdnn,None,None,None,TIMEOUT
resnet18,4,50,prdnn,0.021499999999999964,1.0,0.68,731.8017101893201
resnet18,4,100,prdnn,0.02089999999999992,1.0,0.686,1794.9141652132384
resnet18,4,200,prdnn,0.01969999999999994,1.0,0.6715,3307.5388688780367
resnet18,4,500,prdnn,None,None,None,TIMEOUT
resnet18,4,1000,prdnn,None,None,None,TIMEOUT
resnet18,8,50,prdnn,0.14,1.0,0.598,715.3884794590995
resnet18,8,100,prdnn,0.13749999999999996,1.0,0.578,1300.1511915526353
resnet18,8,200,prdnn,0.12159999999999993,1.0,0.549,5757.277619681787
resnet18,8,500,prdnn,None,None,None,TIMEOUT
resnet18,8,1000,prdnn,None,None,None,TIMEOUT
vgg19,4,50,aprnn,0.14160000000000006,1.0,0.692,188.94646146986634
vgg19,4,100,aprnn,0.20020000000000004,1.0,0.689,288.2202875316143
vgg19,4,200,aprnn,0.29300000000000004,1.0,0.7085,451.2824317244813
vgg19,4,500,aprnn,0.48650000000000004,1.0,0.7554,1645.639687676914
vgg19,4,1000,aprnn,0.46430000000000005,1.0,0.8039,6211.421647501178
vgg19,8,50,aprnn,0.23970000000000002,1.0,0.632,209.2149113677442
vgg19,8,100,aprnn,0.3951,1.0,0.652,318.6265845578164
vgg19,8,200,aprnn,0.6186,1.0,0.6815,492.44103588629514
vgg19,8,500,aprnn,0.7554000000000001,1.0,0.6614,1750.4414049228653
vgg19,8,1000,aprnn,0.8209000000000001,1.0,0.7066,7787.100646957755
resnet18,4,50,aprnn,0.017799999999999927,1.0,0.706,307.747873038
resnet18,4,100,aprnn,0.01759999999999995,1.0,0.651,746.090837042
resnet18,4,200,aprnn,0.022499999999999964,1.0,0.62,812.1510163070634
resnet18,4,500,aprnn,0.031399999999999983,1.0,0.6272,1338.1129021849483
resnet18,4,1000,aprnn,0.06099999999999994,1.0,0.6821,1710.7776858740003
resnet18,8,50,aprnn,0.05520000000000003,1.0,0.65,580.9303465779999
resnet18,8,100,aprnn,0.04249999999999998,1.0,0.556,990.7643887970003
resnet18,8,200,aprnn,0.07589999999999997,1.0,0.53,863.1524560097605
resnet18,8,500,aprnn,0.12729999999999997,1.0,0.4962,1556.0457024881616
resnet18,8,1000,aprnn,0.19509999999999994,1.0,0.5903,1988.3888117389997
vgg19,4,50,label,0.0,1.0,1.0,238.74136359989643
vgg19,4,100,label,0.0,1.0,1.0,470.47320031002164
vgg19,4,200,label,0.0,1.0,1.0,970.7461700588465
vgg19,4,500,label,0.0,1.0,1.0,2381.813097227365
vgg19,4,1000,label,0.0,1.0,1.0,4790.262630037963
vgg19,8,50,label,0.0,1.0,1.0,239.29964708909392
vgg19,8,100,label,0.0,1.0,1.0,473.4615395627916
vgg19,8,200,label,0.0,1.0,1.0,973.2148087956011
vgg19,8,500,label,0.0,1.0,1.0,2349.787813991308
vgg19,8,1000,label,0.0,1.0,1.0,4763.582827337086
resnet18,4,50,label,0.0,1.0,1.0,258.70296008884907
resnet18,4,100,label,0.0,1.0,1.0,524.937802258879
resnet18,4,200,label,0.0,1.0,1.0,1085.8029689975083
resnet18,4,500,label,0.0,1.0,1.0,2893.488585807383
resnet18,4,1000,label,0.0,1.0,1.0,5955.16061142832
resnet18,8,50,label,0.0,1.0,1.0,261.2697226628661
resnet18,8,100,label,0.0,1.0,1.0,520.1376202702522
resnet18,8,200,label,0.0,1.0,1.0,1069.3280345015228
resnet18,8,500,label,0.0,1.0,1.0,2808.420625679195
resnet18,8,1000,label,0.0,1.0,1.0,5249.569245833904
vgg19,4,50,care,0.0011999999999999789,0.07999999999999996,0.06600000000000006,47.77057766914368
vgg19,4,100,care,0.0017000000000000348,0.050000000000000044,0.04200000000000004,64.3739697933197
vgg19,4,200,care,0.0015000000000000568,0.040000000000000036,0.03600000000000003,106.46448826789856
vgg19,4,500,care,0.0021999999999999797,0.10999999999999999,0.11660000000000004,380.412171125412
vgg19,4,1000,care,0.0031999999999999806,0.10899999999999999,0.11819999999999997,928.2411732673645
vgg19,8,50,care,0.0011999999999999789,0.020000000000000018,0.020000000000000018,36.90422534942627
vgg19,8,100,care,0.0019000000000000128,0.040000000000000036,0.03600000000000003,48.22736883163452
vgg19,8,200,care,0.0016000000000000458,0.020000000000000018,0.027000000000000024,96.0102481842041
vgg19,8,500,care,0.0009000000000000119,0.02200000000000002,0.023800000000000043,234.1460723876953
vgg19,8,1000,care,0.0028000000000000247,0.02400000000000002,0.02859999999999996,442.97317361831665
resnet18,4,50,care,0.0008000000000000229,0.0,0.026000000000000023,45.48418045043945
resnet18,4,100,care,0.0006999999999999229,0.0,0.027000000000000024,58.85730504989624
resnet18,4,200,care,0.0018000000000000238,0.0,0.09050000000000002,105.52231454849243
resnet18,4,500,care,0.0029000000000000137,0.0,0.12239999999999995,243.54964184761047
resnet18,4,1000,care,0.0020999999999999908,0.0,0.0665,384.92178773880005
resnet18,8,50,care,0.0005999999999999339,0.0,0.038000000000000034,37.14103102684021
resnet18,8,100,care,0.00019999999999997797,0.0,0.026000000000000023,75.3798999786377
resnet18,8,200,care,0.0004999999999999449,0.0,0.02300000000000002,101.60452151298523
resnet18,8,500,care,0.0008000000000000229,0.0,0.027200000000000002,180.66805624961853
resnet18,8,1000,care,0.0009000000000000119,0.0,0.0232,285.73680210113525
