Model,radius,num,RSR on repair set/%,RGR/%,DD/%
,,,CARE,PRDNN,APRNN,TRADES,Ours,CARE,PRDNN,APRNN,TRADES,Ours,CARE,PRDNN,APRNN,TRADES,Ours
vgg19,4,50,8.0[],100.0[],100.0[],96.0[],100.0[],6.6[],69.8[],69.2[],84.0[],100.0[],0.1[],13.6[],14.2[],46.0[],0.0[]
vgg19,4,100,5.0[],100.0[],100.0[],95.0[],100.0[],4.2[],68.2[],68.9[],90.0[],100.0[],0.2[],24.8[],20.0[],35.3[],0.0[]
vgg19,4,200,4.0[],100.0[],100.0[],95.0[],100.0[],3.6[],68.5[],70.9[],85.0[],100.0[],0.2[],30.3[],29.3[],29.8[],0.0[]
vgg19,4,500,11.0[],--[],100.0[],97.4[],100.0[],11.7[],--[],75.5[],97.8[],100.0[],0.2[],--[],48.7[],14.7[],0.0[]
vgg19,4,1000,10.9[],--[],100.0[],96.7[],100.0[],11.8[],--[],80.4[],98.0[],100.0[],0.3[],--[],46.4[],-3.3[],0.0[]
vgg19,8,50,2.0[],100.0[],100.0[],96.0[],100.0[],2.0[],58.0[],63.2[],80.0[],100.0[],0.1[],19.8[],24.0[],43.9[],0.0[]
vgg19,8,100,4.0[],100.0[],100.0[],92.0[],100.0[],3.6[],66.6[],65.2[],90.0[],100.0[],0.2[],40.5[],39.5[],37.8[],0.0[]
vgg19,8,200,2.0[],100.0[],100.0[],92.5[],100.0[],2.7[],61.4[],68.2[],100.0[],100.0[],0.2[],50.2[],61.9[],29.7[],0.0[]
vgg19,8,500,2.2[],--[],100.0[],95.6[],100.0[],2.4[],--[],66.1[],98.0[],100.0[],0.1[],--[],75.5[],11.8[],0.0[]
vgg19,8,1000,2.4[],--[],100.0[],96.0[],100.0[],2.9[],--[],70.7[],99.0[],100.0[],0.3[],--[],82.1[],-2.7[],0.0[]
resnet18,4,50,0.0[],100.0[],100.0[],100.0[],100.0[],2.6[],68.0[],70.6[],100.0[],100.0[],0.1[],2.1[],1.8[],43.0[],0.0[]
resnet18,4,100,0.0[],100.0[],100.0[],99.0[],100.0[],2.7[],68.6[],65.1[],90.0[],100.0[],0.1[],2.1[],1.8[],51.7[],0.0[]
resnet18,4,200,0.0[],100.0[],100.0[],100.0[],100.0[],9.1[],67.2[],62.0[],100.0[],100.0[],0.2[],2.0[],2.2[],33.0[],0.0[]
resnet18,4,500,0.0[],--[],100.0[],99.8[],100.0[],12.2[],--[],62.7[],100.0[],100.0[],0.3[],--[],3.1[],12.9[],0.0[]
resnet18,4,1000,0.0[],--[],100.0[],99.5[],100.0[],6.7[],--[],68.2[],99.1[],100.0[],0.2[],--[],6.1[],-11.2[],0.0[]
resnet18,8,50,0.0[],100.0[],100.0[],100.0[],100.0[],3.8[],59.8[],65.0[],100.0[],100.0[],0.1[],14.0[],5.5[],50.4[],0.0[]
resnet18,8,100,0.0[],100.0[],100.0[],96.0[],100.0[],2.6[],57.8[],55.6[],90.0[],100.0[],0.0[],13.7[],4.2[],51.4[],0.0[]
resnet18,8,200,0.0[],100.0[],100.0[],99.5[],100.0[],2.3[],54.9[],53.0[],100.0[],100.0[],0.0[],12.2[],7.6[],29.2[],0.0[]
resnet18,8,500,0.0[],--[],100.0[],99.4[],100.0[],2.7[],--[],49.6[],100.0[],100.0[],0.1[],--[],12.7[],13.7[],0.0[]
resnet18,8,1000,0.0[],--[],100.0[],96.9[],100.0[],2.3[],--[],59.0[],97.3[],100.0[],0.1[],--[],19.5[],-8.9[],0.0[]
