net,radius,data_number,tool,defense success of apgd & apgdt
FNN_small,0.05,50,PatchRepair,0.8996
FNN_small,0.05,50,original,0.0997
FNN_small,0.05,50,adv_training,0.1009
FNN_small,0.05,50,art,0.0892
FNN_small,0.05,50,care,0.0889
FNN_small,0.05,50,prdnn,0.0318
FNN_small,0.05,50,reassure,0
FNN_small,0.05,50,aprnn,0.0233
FNN_small,0.05,100,PatchRepair,0.9643
FNN_small,0.05,100,original,0.0995
FNN_small,0.05,100,adv_training,0.3129
FNN_small,0.05,100,art,0.1135
FNN_small,0.05,100,care,0.0929
FNN_small,0.05,100,prdnn,0.0515
FNN_small,0.05,100,reassure,0
FNN_small,0.05,100,aprnn,0.0078
FNN_small,0.05,200,PatchRepair,0.9658
FNN_small,0.05,200,original,0.0996
FNN_small,0.05,200,adv_training,0.5425
FNN_small,0.05,200,art,0.101
FNN_small,0.05,200,care,0.0859
FNN_small,0.05,200,prdnn,0.0107
FNN_small,0.05,200,reassure,0
FNN_small,0.05,200,aprnn,0.0126
FNN_small,0.05,500,PatchRepair,0.9656
FNN_small,0.05,500,original,0.0997
FNN_small,0.05,500,adv_training,0.6043
FNN_small,0.05,500,art,0.0892
FNN_small,0.05,500,care,0.0829
FNN_small,0.05,500,prdnn,0.0053
FNN_small,0.05,500,reassure,0
FNN_small,0.05,500,aprnn,0.0526
FNN_small,0.05,1000,PatchRepair,0.9658
FNN_small,0.05,1000,original,0.1
FNN_small,0.05,1000,adv_training,0.5996
FNN_small,0.05,1000,art,0.1135
FNN_small,0.05,1000,care,0.0614
FNN_small,0.05,1000,prdnn,0.0021
FNN_small,0.05,1000,reassure,0
FNN_small,0.05,1000,aprnn,0.0091
FNN_small,0.1,50,PatchRepair,0.9628
FNN_small,0.1,50,original,0.0002
FNN_small,0.1,50,adv_training,0.0687
FNN_small,0.1,50,art,0.0958
FNN_small,0.1,50,care,0.0002
FNN_small,0.1,50,prdnn,0.0001
FNN_small,0.1,50,reassure,0
FNN_small,0.1,50,aprnn,0.0
FNN_small,0.1,100,PatchRepair,0.9504
FNN_small,0.1,100,original,0.0002
FNN_small,0.1,100,adv_training,0.1856
FNN_small,0.1,100,art,0.0958
FNN_small,0.1,100,care,0.0001
FNN_small,0.1,100,prdnn,0.0
FNN_small,0.1,100,reassure,0
FNN_small,0.1,100,aprnn,0.0
FNN_small,0.1,200,PatchRepair,0.952
FNN_small,0.1,200,original,0.0002
FNN_small,0.1,200,adv_training,0.1899
FNN_small,0.1,200,art,0.101
FNN_small,0.1,200,care,0.0002
FNN_small,0.1,200,prdnn,0.0
FNN_small,0.1,200,reassure,0
FNN_small,0.1,200,aprnn,0.0
