net,radius,data_number,patch_format,drawdown,rs,gene,time
FNN_small,0.05,50,small,0.0,1.0,1.0,14.335067082196474
FNN_small,0.05,50,big,0.0,1.0,1.0,15.157573040574789
FNN_small,0.05,100,small,0.0,1.0,1.0,24.807433407753706
FNN_small,0.05,100,big,0.0,1.0,1.0,36.702518720179796
FNN_small,0.05,200,small,0.0,1.0,1.0,60.57718174904585
FNN_small,0.05,200,big,0.0,1.0,1.0,99.3230757303536
FNN_small,0.05,500,small,0.0,1.0,1.0,236.74631699547172
FNN_small,0.05,500,big,0.0,1.0,1.0,423.1143691800535
FNN_small,0.05,1000,small,0.0,1.0,1.0,756.6742244772613
FNN_small,0.05,1000,big,0.0,1.0,1.0,506.69631972163916
FNN_small,0.1,50,small,0.0,1.0,1.0,15.479771446436644
FNN_small,0.1,50,big,0.0,1.0,1.0,14.858073979616165
FNN_small,0.1,100,small,0.0,1.0,1.0,37.30527772381902
FNN_small,0.1,100,big,0.0,1.0,1.0,34.550390381366014
FNN_small,0.1,200,small,0.0,1.0,1.0,62.53422508761287
FNN_small,0.1,200,big,0.0,1.0,1.0,86.76494120806456
FNN_small,0.1,500,small,0.0,1.0,1.0,193.24014096334577
FNN_small,0.1,500,big,0.0,1.0,1.0,394.51561514660716
FNN_small,0.1,1000,small,0.0,1.0,1.0,768.1300492659211
FNN_small,0.1,1000,big,0.0,1.0,1.0,542.8808218576014
FNN_small,0.3,50,small,0.0,0.94,0.948,18.559117697179317
FNN_small,0.3,50,big,0.0,0.94,0.948,18.001336459070444
FNN_small,0.3,100,small,0.0,0.99,0.99,51.95159064233303
FNN_small,0.3,100,big,0.0,0.99,0.99,49.50144346430898
FNN_small,0.3,200,small,0.0,0.995,0.995,115.82683347910643
FNN_small,0.3,200,big,0.0,0.995,0.995,104.08968637138605
FNN_small,0.3,500,small,0.0,0.994,0.9952,255.87502445280552
FNN_small,0.3,500,big,0.0,0.994,0.9952,259.9721279554069
FNN_small,0.3,1000,small,0.0,0.996,0.9971,935.752261351794
FNN_small,0.3,1000,big,0.0,0.996,0.9971,720.8739530183375
FNN_big,0.05,50,small,0.0,1.0,1.0,14.534336134791374
FNN_big,0.05,50,big,0.0,1.0,1.0,11.657857865095139
FNN_big,0.05,100,small,0.0,1.0,1.0,29.072769563645124
FNN_big,0.05,100,big,0.0,1.0,1.0,25.877311509102583
FNN_big,0.05,200,small,0.0,1.0,1.0,51.220313880592585
FNN_big,0.05,200,big,0.0,1.0,1.0,70.96899386867881
FNN_big,0.05,500,small,0.0,1.0,1.0,290.62763772159815
FNN_big,0.05,500,big,0.0,1.0,1.0,162.44869912043214
FNN_big,0.05,1000,small,0.0,1.0,1.0,1033.2071264982224
FNN_big,0.05,1000,big,0.0,1.0,1.0,685.9621874988079
FNN_big,0.1,50,small,0.0,1.0,1.0,13.897148560732603
FNN_big,0.1,50,big,0.0,1.0,1.0,12.965539947152138
FNN_big,0.1,100,small,0.0,1.0,1.0,32.14893285930157
FNN_big,0.1,100,big,0.0,1.0,1.0,28.207795716822147
FNN_big,0.1,200,small,0.0,1.0,1.0,75.35477852448821
FNN_big,0.1,200,big,0.0,1.0,1.0,73.28864522650838
FNN_big,0.1,500,small,0.0,1.0,1.0,356.7645662277937
FNN_big,0.1,500,big,0.0,1.0,1.0,168.87113572657108
FNN_big,0.1,1000,small,0.0,1.0,1.0,735.9023488909006
FNN_big,0.1,1000,big,0.0,1.0,1.0,498.9989948682487
FNN_big,0.3,50,small,0.0,1.0,1.0,17.052709065377712
FNN_big,0.3,50,big,0.0,1.0,1.0,17.445750184357166
FNN_big,0.3,100,small,0.0,1.0,1.0,36.953606221824884
FNN_big,0.3,100,big,0.0,1.0,1.0,37.39193258807063
FNN_big,0.3,200,small,0.0,1.0,1.0,100.37729313224554
FNN_big,0.3,200,big,0.0,1.0,1.0,96.366121083498
FNN_big,0.3,500,small,0.0,1.0,1.0,365.37509817257524
FNN_big,0.3,500,big,0.0,1.0,1.0,335.9916299134493
FNN_big,0.3,1000,small,0.0,1.0,1.0,1246.4259777218103
FNN_big,0.3,1000,big,0.0,1.0,1.0,546.6321179494262
CNN_small,0.05,50,small,0.0,1.0,1.0,14.148496482521296
CNN_small,0.05,50,big,0.0,1.0,1.0,11.063542865216732
CNN_small,0.05,100,small,0.0,1.0,1.0,23.421075481921434
CNN_small,0.05,100,big,0.0,1.0,1.0,22.693988393992186
CNN_small,0.05,200,small,0.0,1.0,1.0,83.56223184987903
CNN_small,0.05,200,big,0.0,1.0,1.0,49.650972951203585
CNN_small,0.05,500,small,0.0,1.0,1.0,221.87888115644455
CNN_small,0.05,500,big,0.0,1.0,1.0,169.31132505089045
CNN_small,0.05,1000,small,0.0,1.0,1.0,1001.9490304999053
