Model,radius,num,RSR/%,DD/%,Time/s
,,,PS,PB,LS,LB,PS,PB,LS,LB,PS,PB,LS,LB
FNN_small,0.05,50,100.0[],100.0[],100.0[],99.3[],0.0[],0.0[],0.0[],-3.4[],14.3[],15.2[],3.9[],3.9[]
FNN_small,0.05,100,100.0[],100.0[],100.0[],99.3[],0.0[],0.0[],0.0[],-3.4[],24.8[],36.7[],1.8[],1.8[]
FNN_small,0.05,200,100.0[],100.0[],100.0[],99.3[],0.0[],0.0[],0.0[],-3.4[],60.6[],99.3[],4.7[],4.9[]
FNN_small,0.05,500,100.0[],100.0[],100.0[],99.3[],0.0[],0.0[],0.0[],-3.4[],236.7[],423.1[],22.0[],24.5[]
FNN_small,0.05,1000,100.0[],100.0[],100.0[],100.0[],0.0[],0.0[],0.0[],0.0[],756.7[],506.7[],90.5[],94.0[]
FNN_small,0.1,50,100.0[],100.0[],100.0[],100.0[],0.0[],0.0[],0.0[],0.0[],15.5[],14.9[],1.1[],3.8[]
FNN_small,0.1,100,100.0[],100.0[],100.0[],100.0[],0.0[],0.0[],0.0[],0.0[],37.3[],34.6[],1.9[],1.9[]
FNN_small,0.1,200,100.0[],100.0[],100.0[],100.0[],0.0[],0.0[],0.0[],0.0[],62.5[],86.8[],4.5[],4.5[]
FNN_small,0.1,500,100.0[],100.0[],100.0[],100.0[],0.0[],0.0[],0.0[],0.0[],193.2[],394.5[],22.7[],22.4[]
FNN_small,0.1,1000,100.0[],100.0[],100.0[],100.0[],0.0[],0.0[],0.0[],0.0[],768.1[],542.9[],80.0[],84.7[]
FNN_small,0.3,50,94.0[],94.0[],94.0[],94.0[],0.0[],0.0[],0.0[],0.0[],18.6[],18.0[],1.4[],1.4[]
FNN_small,0.3,100,99.0[],99.0[],99.0[],99.0[],0.0[],0.0[],0.0[],0.0[],52.0[],49.5[],3.0[],2.8[]
FNN_small,0.3,200,99.5[],99.5[],99.5[],99.5[],0.0[],0.0[],0.0[],0.0[],115.8[],104.1[],5.7[],5.5[]
FNN_small,0.3,500,99.4[],99.4[],99.8[],99.8[],0.0[],0.0[],0.0[],0.0[],255.9[],260.0[],23.1[],22.3[]
FNN_small,0.3,1000,99.6[],99.6[],99.9[],99.9[],0.0[],0.0[],0.0[],0.0[],935.8[],720.9[],86.3[],84.8[]
FNN_big,0.05,50,100.0[],100.0[],100.0[],100.0[],0.0[],0.0[],0.0[],0.0[],14.5[],11.7[],0.7[],0.8[]
FNN_big,0.05,100,100.0[],100.0[],100.0[],100.0[],0.0[],0.0[],0.0[],0.0[],29.1[],25.9[],1.5[],1.4[]
FNN_big,0.05,200,100.0[],100.0[],100.0[],100.0[],0.0[],0.0[],0.0[],0.0[],51.2[],71.0[],4.0[],4.0[]
FNN_big,0.05,500,100.0[],100.0[],100.0[],100.0[],0.0[],0.0[],0.0[],0.0[],290.6[],162.4[],21.5[],20.9[]
