For FNN_small 0.05 50 small: \  ori:50, patch:0, adv-train:36 \ 
For FNN_small 0.05 50 big: \  ori:50, patch:0, adv-train:36 \ 
For FNN_big 0.05 50 small: \  ori:50, patch:0, adv-train:21 \ 
For FNN_big 0.05 50 big: \  ori:50, patch:0, adv-train:21 \ 
For CNN_small 0.05 50 small: \  ori:50, patch:0, adv-train:1 \ 
For CNN_small 0.05 50 big: \  ori:50, patch:0, adv-train:1 \ 
For FNN_small 0.1 50 small: \  ori:50, patch:0, adv-train:50 \ 
For FNN_small 0.1 50 big: \  ori:50, patch:0, adv-train:50 \ 
For FNN_big 0.1 50 small: \  ori:50, patch:0, adv-train:47 \ 
For FNN_big 0.1 50 big: \  ori:50, patch:0, adv-train:47 \ 
For CNN_small 0.1 50 small: \  ori:50, patch:0, adv-train:12 \ 
For CNN_small 0.1 50 big: \  ori:50, patch:0, adv-train:13 \ 
For FNN_small 0.3 50 small: \  ori:50, patch:4, adv-train:50 \ 
For FNN_small 0.3 50 big: \  ori:50, patch:4, adv-train:50 \ 
For FNN_big 0.3 50 small: \  ori:50, patch:0, adv-train:50 \ 
For FNN_big 0.3 50 big: \  ori:50, patch:0, adv-train:50 \ 
For CNN_small 0.3 50 small: \  ori:50, patch:0, adv-train:50 \ 
For CNN_small 0.3 50 big: \  ori:50, patch:0, adv-train:50 \ 
For FNN_small 0.05 100 small: \  ori:100, patch:0, adv-train:68 \ 
For FNN_small 0.05 100 big: \  ori:100, patch:0, adv-train:68 \ 
For FNN_big 0.05 100 small: \  ori:100, patch:0, adv-train:42 \ 
For FNN_big 0.05 100 big: \  ori:100, patch:0, adv-train:43 \ 
For CNN_small 0.05 100 small: \  ori:100, patch:0, adv-train:0 \ 
For CNN_small 0.05 100 big: \  ori:100, patch:0, adv-train:0 \ 
For FNN_small 0.1 100 small: \  ori:100, patch:0, adv-train:97 \ 
For FNN_small 0.1 100 big: \  ori:100, patch:0, adv-train:97 \ 
For FNN_big 0.1 100 small: \  ori:100, patch:0, adv-train:98 \ 
For FNN_big 0.1 100 big: \  ori:100, patch:0, adv-train:98 \ 
For CNN_small 0.1 100 small: \  ori:100, patch:0, adv-train:25 \ 
For CNN_small 0.1 100 big: \  ori:100, patch:0, adv-train:25 \ 
For FNN_small 0.3 100 small: \  ori:100, patch:0, adv-train:100 \ 
